Nazov kraja,Nazov okresu,Pocet zapisanych volicov,Pocet vydanych obalok,Úcast volicov v %,Pocet odovzdanych obalok,Pocet zapisanych volicov,Pocet vydanych obalok,Úcast volicov v %,Pocet odovzdanych obalok
Presovsky kraj,Bardejov, 59 910, 28 536,47.63, 28 527, 59 770, 24 056,40.24, 24 055
Presovsky kraj,Humenne, 50 160, 22 381,44.61, 22 378, 49 988, 18 845,37.69, 18 840
Presovsky kraj,Medzilaborce, 9 265, 3 810,41.12, 3 810, 9 339, 3 351,35.88, 3 348
Presovsky kraj,Snina, 29 508, 11 195,37.93, 11 190, 29 568, 9 637,32.59, 9 637
Presovsky kraj,Kezmarok, 52 474, 22 579,43.02, 22 575, 52 236, 16 606,31.79, 16 604
Presovsky kraj,Levoca, 25 706, 11 625,45.22, 11 623, 25 596, 9 392,36.69, 9 392
Presovsky kraj,Poprad, 84 173, 42 696,50.72, 42 679, 83 073, 34 834,41.93, 34 828
Presovsky kraj,Presov, 133 786, 68 121,50.91, 68 108, 133 071, 57 634,43.31, 57 627
Presovsky kraj,Sabinov, 43 703, 19 896,45.52, 19 894, 43 559, 16 174,37.13, 16 174
Presovsky kraj,Stara Ľubovna, 39 869, 17 718,44.44, 17 713, 39 741, 14 470,36.41, 14 466
Presovsky kraj,Stropkov, 16 141, 7 395,45.81, 7 395, 16 102, 6 478,40.23, 6 478
Presovsky kraj,Svidnik, 25 789, 11 655,45.19, 11 655, 25 608, 9 744,38.05, 9 744
Presovsky kraj,Vranov nad Toplou, 60 693, 24 673,40.65, 24 664, 60 713, 20 190,33.25, 20 178
Kosicky kraj,Kosice I, 54 540, 27 548,50.50, 27 541, 54 133, 24 320,44.92, 24 315
Kosicky kraj,Kosice II, 65 197, 30 123,46.20, 30 113, 64 778, 26 481,40.87, 26 476
Kosicky kraj,Kosice III, 23 991, 10 956,45.66, 10 951, 23 883, 9 661,40.45, 9 661
Kosicky kraj,Kosice IV, 47 660, 23 514,49.33, 23 509, 47 452, 20 897,44.03, 20 896
Kosicky kraj,Kosice - okolie, 96 611, 41 016,42.45, 41 002, 96 687, 33 640,34.79, 33 635
Kosicky kraj,Michalovce, 86 702, 32 803,37.83, 32 800, 85 994, 27 176,31.60, 27 174
Kosicky kraj,Sobrance, 17 913, 7 700,42.98, 7 699, 17 895, 6 457,36.08, 6 456
Kosicky kraj,Roznava, 47 830, 18 027,37.68, 18 025, 47 786, 14 780,30.92, 14 780
Kosicky kraj,Gelnica, 23 915, 9 225,38.57, 9 221, 23 877, 7 371,30.87, 7 371
Kosicky kraj,Spisska Nova Ves, 73 532, 31 943,43.44, 31 942, 73 318, 26 107,35.60, 26 106
Kosicky kraj,Trebisov, 81 882, 27 454,33.52, 27 448, 81 895, 22 623,27.62, 22 623
