1,Bratislavsky kraj,101,Bratislava I,39187,24952,63.67,24931,24836,39060,24191,61.93,24183,23847,
1,Bratislavsky kraj,102,Bratislava II,104219,59960,57.53,59933,59639,103335,56075,54.26,56051,55258,
1,Bratislavsky kraj,103,Bratislava III,59733,36371,60.88,36355,36202,59463,34609,58.20,34599,34093,
1,Bratislavsky kraj,104,Bratislava IV,87654,52700,60.12,52672,52469,86877,49092,56.50,49085,48325,
1,Bratislavsky kraj,105,Bratislava V,100898,58381,57.86,58343,58147,100942,54533,54.02,54505,53737,
1,Bratislavsky kraj,106,Malacky,61170,31588,51.63,31582,31425,61406,27722,45.14,27718,27247,
1,Bratislavsky kraj,107,Pezinok,54304,33651,61.96,33643,33508,54152,30243,55.84,30232,29770,
1,Bratislavsky kraj,108,Senec,68813,41533,60.35,41520,41332,69056,37470,54.26,37463,36841,
2,Trnavsky kraj,201,Dunajska Streda,101705,34665,34.08,34651,34356,101890,31137,30.55,31125,30749,
2,Trnavsky kraj,202,Galanta,78715,34512,43.84,34498,34270,78671,29285,37.22,29282,28840,
2,Trnavsky kraj,204,Piestany,53072,28397,53.50,28384,28240,52949,24575,46.41,24570,24071,
2,Trnavsky kraj,205,Senica,50209,24936,49.66,24936,24784,50550,21842,43.20,21839,21473,
2,Trnavsky kraj,206,Skalica,39012,19943,51.12,19928,19817,39187,17072,43.56,17072,16769,
2,Trnavsky kraj,203,Hlohovec,36908,19054,51.62,19044,18916,36809,15838,43.02,15836,15550,
2,Trnavsky kraj,207,Trnava,107925,59033,54.69,59009,58698,107784,51122,47.43,51119,50116,
3,Trenciansky kraj,301,Banovce nad Bebravou,30002,16100,53.66,16096,16019,29996,13426,44.75,13423,13162,
3,Trenciansky kraj,303,Myjava,22278,11398,51.16,11398,11323,22379,10375,46.36,10375,10218,
3,Trenciansky kraj,304,Nove Mesto nad Vahom,51365,27802,54.12,27799,27610,51362,24127,46.97,24124,23553,
3,Trenciansky kraj,306,Povazska Bystrica,51662,27227,52.70,27222,27040,51636,22668,43.89,22664,22189,
3,Trenciansky kraj,308,Puchov,36947,19277,52.17,19271,19152,36997,16538,44.70,16533,16164,
3,Trenciansky kraj,305,Partizanske,37648,19383,51.48,19377,19270,37590,16009,42.58,16007,15691,
3,Trenciansky kraj,307,Prievidza,112222,59629,53.13,59604,59211,111898,50107,44.77,50102,49102,
3,Trenciansky kraj,302,Ilava,48987,25986,53.04,25973,25835,48767,22165,45.45,22160,21622,
3,Trenciansky kraj,309,Trencin,93833,52720,56.18,52702,52355,94329,46861,49.67,46857,45818,
4,Nitriansky kraj,401,Komarno,84974,23665,27.84,23661,23465,84973,20775,24.44,20775,20476,
4,Nitriansky kraj,402,Levice,92987,41006,44.09,41003,40764,92720,34558,37.27,34556,33956,
4,Nitriansky kraj,403,Nitra,135864,70015,51.53,70002,69669,135710,59884,44.12,59881,58839,
4,Nitriansky kraj,407,Zlate Moravce,34536,17955,51.98,17951,17843,34522,15289,44.28,15289,15013,
4,Nitriansky kraj,404,Nove Zamky,117262,47668,40.65,47659,47395,117209,41169,35.12,41166,40541,
4,Nitriansky kraj,405,Sala,42856,17624,41.12,17617,17524,42851,15438,36.02,15436,15221,
