1,Bratislavsky kraj,101,Bratislava I,528595,Bratislava - Stare Mesto,39187,24952,63.67,24931,24836,39060,24191,61.93,24183,23847,
1,Bratislavsky kraj,102,Bratislava II,529311,Bratislava - Podunajske Biskupice,20042,10378,51.78,10375,10271,19882,9442,47.49,9429,9314,
1,Bratislavsky kraj,102,Bratislava II,529320,Bratislava - Ruzinov,66641,40628,60.96,40605,40452,66102,38489,58.22,38479,37929,
1,Bratislavsky kraj,102,Bratislava II,529338,Bratislava - Vrakuna,17536,8954,51.06,8953,8916,17351,8144,46.93,8143,8015,
1,Bratislavsky kraj,103,Bratislava III,529346,Bratislava - Nove Mesto,35131,21726,61.84,21719,21629,34914,20758,59.45,20750,20443,
1,Bratislavsky kraj,103,Bratislava III,529354,Bratislava - Raca,19953,11768,58.97,11759,11710,19908,11173,56.12,11171,11008,
1,Bratislavsky kraj,103,Bratislava III,529362,Bratislava - Vajnory,4649,2877,61.88,2877,2863,4641,2678,57.70,2678,2642,
1,Bratislavsky kraj,104,Bratislava IV,529401,Bratislava - Devin,1405,957,68.11,956,952,1429,902,63.12,902,877,
1,Bratislavsky kraj,104,Bratislava IV,529371,Bratislava - Devinska Nova Ves,14162,8244,58.21,8236,8205,14090,7509,53.29,7507,7382,
1,Bratislavsky kraj,104,Bratislava IV,529389,Bratislava - Dubravka,31278,17572,56.18,17567,17491,31022,16404,52.87,16400,16151,
1,Bratislavsky kraj,104,Bratislava IV,529397,Bratislava - Karlova Ves,30273,18848,62.26,18836,18769,29833,17662,59.20,17661,17412,
1,Bratislavsky kraj,104,Bratislava IV,529419,Bratislava - Lamac,6198,4078,65.79,4078,4065,6145,3781,61.52,3781,3703,
1,Bratislavsky kraj,104,Bratislava IV,529427,Bratislava - Zahorska Bystrica,4338,3001,69.17,2999,2987,4358,2834,65.02,2834,2800,
1,Bratislavsky kraj,105,Bratislava V,529435,Bratislava - Cunovo,1212,866,71.45,866,863,1201,826,68.77,826,815,
1,Bratislavsky kraj,105,Bratislava V,529443,Bratislava - Jarovce,2055,1430,69.58,1430,1426,2097,1397,66.61,1397,1380,
1,Bratislavsky kraj,105,Bratislava V,529460,Bratislava - Petrzalka,94260,53855,57.13,53826,53648,94269,50162,53.21,50134,49417,
1,Bratislavsky kraj,105,Bratislava V,529494,Bratislava - Rusovce,3371,2230,66.15,2221,2210,3375,2148,63.64,2148,2125,
1,Bratislavsky kraj,106,Malacky,507831,Borinka,644,412,63.97,412,412,661,388,58.69,388,380,
1,Bratislavsky kraj,106,Malacky,507890,Gajary,2468,1018,41.24,1018,1013,2449,826,33.72,826,810,
1,Bratislavsky kraj,106,Malacky,507954,Jablonove,1074,638,59.40,638,635,1080,560,51.85,560,553,
1,Bratislavsky kraj,106,Malacky,507962,Jakubov,1326,660,49.77,659,656,1331,584,43.87,584,578,
1,Bratislavsky kraj,106,Malacky,508012,Kostoliste,1223,687,56.17,687,682,1237,600,48.50,600,587,
1,Bratislavsky kraj,106,Malacky,508021,Kuchyna,1444,738,51.10,738,731,1450,624,43.03,624,610,
1,Bratislavsky kraj,106,Malacky,508039,Lab,1502,882,58.72,882,878,1498,747,49.86,747,731,
1,Bratislavsky kraj,106,Malacky,508055,Lozorno,2556,1275,49.88,1275,1266,2550,1159,45.45,1159,1137,
1,Bratislavsky kraj,106,Malacky,508063,Malacky,15201,7764,51.07,7763,7724,15211,6691,43.98,6687,6571,
1,Bratislavsky kraj,106,Malacky,504556,Male Levare,1110,445,40.09,445,438,1122,364,32.44,364,360,
1,Bratislavsky kraj,106,Malacky,508080,Marianka,1635,1104,67.52,1104,1104,1755,1056,60.17,1056,1043,
1,Bratislavsky kraj,106,Malacky,508161,Pernek,723,393,54.35,393,392,732,323,44.12,323,306,
1,Bratislavsky kraj,106,Malacky,504629,Plavecke Podhradie,586,313,53.41,313,310,574,298,51.91,298,295,
1,Bratislavsky kraj,106,Malacky,504637,Plavecky Mikulas,622,398,63.98,398,394,635,319,50.23,319,307,
1,Bratislavsky kraj,106,Malacky,508195,Plavecky Stvrtok,1979,868,43.86,868,864,1996,803,40.23,803,793,
1,Bratislavsky kraj,106,Malacky,504769,Rohoznik,2889,1357,46.97,1357,1350,2882,1167,40.49,1167,1128,
1,Bratislavsky kraj,106,Malacky,504858,Solosnica,1340,724,54.02,724,720,1372,672,48.97,672,660,
1,Bratislavsky kraj,106,Malacky,504874,Studienka,1438,686,47.70,686,685,1427,588,41.20,588,585,
1,Bratislavsky kraj,106,Malacky,508233,Stupava,9249,5630,60.87,5626,5604,9285,5156,55.53,5156,5087,
1,Bratislavsky kraj,106,Malacky,508241,Suchohrad,581,293,50.43,293,292,594,247,41.58,247,245,
1,Bratislavsky kraj,106,Malacky,504947,Velke Levare,3036,1367,45.02,1367,1356,3030,1134,37.42,1134,1112,
1,Bratislavsky kraj,106,Malacky,508349,Vysoka pri Morave,1840,902,49.02,902,899,1829,752,41.11,752,743,
1,Bratislavsky kraj,106,Malacky,500267,Zahorie (vojensky obvod),140,66,47.14,66,65,144,53,36.80,53,44,
1,Bratislavsky kraj,106,Malacky,508365,Zahorska Ves,1497,560,37.40,560,556,1498,476,31.77,476,472,
1,Bratislavsky kraj,106,Malacky,504980,Zavod,2367,991,41.86,991,986,2353,829,35.23,829,822,
1,Bratislavsky kraj,106,Malacky,508381,Zohor,2700,1417,52.48,1417,1413,2711,1306,48.17,1306,1288,
1,Bratislavsky kraj,107,Pezinok,507806,Bahon,1532,868,56.65,868,864,1530,765,50.00,765,750,
1,Bratislavsky kraj,107,Pezinok,507849,Budmerice,1944,1066,54.83,1066,1058,1944,923,47.47,923,905,
1,Bratislavsky kraj,107,Pezinok,507857,Casta,1908,1110,58.17,1110,1106,1908,926,48.53,926,914,
1,Bratislavsky kraj,107,Pezinok,507873,Dolany,903,622,68.88,622,619,889,522,58.71,522,506,
1,Bratislavsky kraj,107,Pezinok,507881,Dubova,927,595,64.18,595,591,926,496,53.56,496,488,
1,Bratislavsky kraj,107,Pezinok,507946,Jablonec,801,458,57.17,458,456,797,365,45.79,365,358,
1,Bratislavsky kraj,107,Pezinok,508047,Limbach,1667,1140,68.38,1140,1140,1643,1029,62.62,1029,1022,
1,Bratislavsky kraj,107,Pezinok,508101,Modra,7805,4711,60.35,4709,4695,7748,4256,54.93,4253,4194,
1,Bratislavsky kraj,107,Pezinok,508179,Pezinok,19823,12520,63.15,12518,12471,19812,11464,57.86,11460,11308,
1,Bratislavsky kraj,107,Pezinok,508187,Pila,297,179,60.26,179,179,322,190,59.00,190,189,
1,Bratislavsky kraj,107,Pezinok,508225,Slovensky Grob,3269,2101,64.27,2101,2093,3271,1907,58.30,1907,1886,
1,Bratislavsky kraj,107,Pezinok,507989,Svaty Jur,4707,2799,59.46,2796,2779,4721,2603,55.13,2600,2534,
1,Bratislavsky kraj,107,Pezinok,508250,Senkvice,4112,2541,61.79,2540,2530,4103,2237,54.52,2237,2194,
1,Bratislavsky kraj,107,Pezinok,508268,Stefanova,308,179,58.11,179,178,306,153,50.00,153,152,
1,Bratislavsky kraj,107,Pezinok,508306,Vinicne,2034,1375,67.60,1375,1369,2003,1185,59.16,1185,1168,
1,Bratislavsky kraj,107,Pezinok,508314,Vinosady,1120,764,68.21,764,762,1086,660,60.77,660,656,
1,Bratislavsky kraj,107,Pezinok,508322,Vistuk,1147,623,54.31,623,618,1143,562,49.16,561,546,
1,Bratislavsky kraj,108,Senec,507814,Bernolakovo,6048,3769,62.31,3769,3754,6076,3283,54.03,3283,3239,
1,Bratislavsky kraj,108,Senec,507822,Blatne,1381,824,59.66,824,820,1393,743,53.33,743,733,
1,Bratislavsky kraj,108,Senec,503681,Boldog,404,245,60.64,245,244,403,240,59.55,240,234,
1,Bratislavsky kraj,108,Senec,507865,Cataj,967,615,63.59,615,614,979,546,55.77,546,536,
1,Bratislavsky kraj,108,Senec,545333,Dunajska Luzna,5085,3238,63.67,3237,3227,5092,2856,56.08,2853,2809,
1,Bratislavsky kraj,108,Senec,507903,Hamuliakovo,1858,1063,57.21,1062,1062,1883,1009,53.58,1009,997,
1,Bratislavsky kraj,108,Senec,503797,Hruba Borsa,808,533,65.96,533,531,839,506,60.30,505,493,
1,Bratislavsky kraj,108,Senec,503801,Hruby Sur,753,438,58.16,438,436,761,381,50.06,381,376,
1,Bratislavsky kraj,108,Senec,503819,Hurbanova Ves,317,200,63.09,200,200,324,199,61.41,199,192,
1,Bratislavsky kraj,108,Senec,507911,Chorvatsky Grob,4552,3029,66.54,3029,3023,4540,2868,63.17,2868,2856,
1,Bratislavsky kraj,108,Senec,555487,Igram,480,267,55.62,267,265,480,222,46.25,222,214,
1,Bratislavsky kraj,108,Senec,507938,Ivanka pri Dunaji,5308,3416,64.35,3407,3391,5303,3040,57.32,3040,2956,
1,Bratislavsky kraj,108,Senec,507997,Kalinkovo,1126,697,61.90,697,691,1118,644,57.60,644,630,
1,Bratislavsky kraj,108,Senec,555495,Kaplna,703,399,56.75,399,393,709,365,51.48,365,359,
1,Bratislavsky kraj,108,Senec,503851,Kostolna pri Dunaji,546,337,61.72,337,334,557,300,53.85,300,298,
