101,Zuzana,Caputova,18921,
101,Maros,Sefcovic,4926,
102,Zuzana,Caputova,41627,
102,Maros,Sefcovic,13631,
103,Zuzana,Caputova,25393,
103,Maros,Sefcovic,8700,
104,Zuzana,Caputova,35425,
104,Maros,Sefcovic,12900,
105,Zuzana,Caputova,39250,
105,Maros,Sefcovic,14487,
106,Zuzana,Caputova,18196,
106,Maros,Sefcovic,9051,
107,Zuzana,Caputova,21414,
107,Maros,Sefcovic,8356,
108,Zuzana,Caputova,27728,
108,Maros,Sefcovic,9113,
201,Zuzana,Caputova,25813,
201,Maros,Sefcovic,4936,
202,Zuzana,Caputova,19686,
202,Maros,Sefcovic,9154,
204,Zuzana,Caputova,14451,
204,Maros,Sefcovic,9620,
205,Zuzana,Caputova,13224,
205,Maros,Sefcovic,8249,
206,Zuzana,Caputova,11428,
206,Maros,Sefcovic,5341,
203,Zuzana,Caputova,8162,
203,Maros,Sefcovic,7388,
207,Zuzana,Caputova,30434,
207,Maros,Sefcovic,19682,
301,Zuzana,Caputova,5928,
301,Maros,Sefcovic,7234,
303,Zuzana,Caputova,6220,
303,Maros,Sefcovic,3998,
304,Zuzana,Caputova,13286,
304,Maros,Sefcovic,10267,
306,Zuzana,Caputova,9982,
306,Maros,Sefcovic,12207,
308,Zuzana,Caputova,7536,
308,Maros,Sefcovic,8628,
305,Zuzana,Caputova,7514,
305,Maros,Sefcovic,8177,
307,Zuzana,Caputova,25014,
307,Maros,Sefcovic,24088,
302,Zuzana,Caputova,10303,
302,Maros,Sefcovic,11319,
309,Zuzana,Caputova,26659,
309,Maros,Sefcovic,19159,
401,Zuzana,Caputova,14937,
401,Maros,Sefcovic,5539,
402,Zuzana,Caputova,20905,
402,Maros,Sefcovic,13051,
403,Zuzana,Caputova,33362,
403,Maros,Sefcovic,25477,
407,Zuzana,Caputova,6661,
407,Maros,Sefcovic,8352,
404,Zuzana,Caputova,24230,
404,Maros,Sefcovic,16311,
405,Zuzana,Caputova,10802,
405,Maros,Sefcovic,4419,
406,Zuzana,Caputova,10552,
406,Maros,Sefcovic,14553,
502,Zuzana,Caputova,9048,
502,Maros,Sefcovic,18635,
503,Zuzana,Caputova,8261,
503,Maros,Sefcovic,5498,
505,Zuzana,Caputova,16089,
505,Maros,Sefcovic,11773,
506,Zuzana,Caputova,20112,
506,Maros,Sefcovic,15747,
509,Zuzana,Caputova,3016,
509,Maros,Sefcovic,3173,
507,Zuzana,Caputova,7425,
507,Maros,Sefcovic,9141,
510,Zuzana,Caputova,6224,
510,Maros,Sefcovic,6129,
508,Zuzana,Caputova,11295,
508,Maros,Sefcovic,9057,
501,Zuzana,Caputova,4373,
501,Maros,Sefcovic,5683,
504,Zuzana,Caputova,4218,
504,Maros,Sefcovic,7168,
511,Zuzana,Caputova,33742,
511,Maros,Sefcovic,27089,
601,Zuzana,Caputova,26531,
601,Maros,Sefcovic,16316,
603,Zuzana,Caputova,9710,
603,Maros,Sefcovic,9245,
606,Zuzana,Caputova,10523,
606,Maros,Sefcovic,7146,
607,Zuzana,Caputova,2608,
607,Maros,Sefcovic,3564,
608,Zuzana,Caputova,4417,
608,Maros,Sefcovic,3850,
609,Zuzana,Caputova,9511,
609,Maros,Sefcovic,7120,
610,Zuzana,Caputova,5821,
610,Maros,Sefcovic,5242,
604,Zuzana,Caputova,4494,
604,Maros,Sefcovic,5664,
605,Zuzana,Caputova,3471,
605,Maros,Sefcovic,3667,
611,Zuzana,Caputova,14259,
611,Maros,Sefcovic,10503,
602,Zuzana,Caputova,3130,
602,Maros,Sefcovic,2442,
612,Zuzana,Caputova,4104,
612,Maros,Sefcovic,4405,
613,Zuzana,Caputova,8788,
613,Maros,Sefcovic,6859,
701,Zuzana,Caputova,10662,
701,Maros,Sefcovic,12711,
702,Zuzana,Caputova,7492,
702,Maros,Sefcovic,10949,
705,Zuzana,Caputova,1068,
705,Maros,Sefcovic,2229,
709,Zuzana,Caputova,3054,
709,Maros,Sefcovic,6421,
703,Zuzana,Caputova,9547,
703,Maros,Sefcovic,6377,
704,Zuzana,Caputova,4836,
704,Maros,Sefcovic,4214,
706,Zuzana,Caputova,21390,
706,Maros,Sefcovic,12501,
707,Zuzana,Caputova,32386,
707,Maros,Sefcovic,23478,
708,Zuzana,Caputova,6275,
708,Maros,Sefcovic,9304,
710,Zuzana,Caputova,5805,
710,Maros,Sefcovic,8129,
711,Zuzana,Caputova,2459,
711,Maros,Sefcovic,3856,
712,Zuzana,Caputova,3200,
712,Maros,Sefcovic,6309,
713,Zuzana,Caputova,6589,
713,Maros,Sefcovic,13118,
802,Zuzana,Caputova,16980,
802,Maros,Sefcovic,6932,
803,Zuzana,Caputova,17501,
803,Maros,Sefcovic,8491,
804,Zuzana,Caputova,6099,
804,Maros,Sefcovic,3388,
805,Zuzana,Caputova,13453,
805,Maros,Sefcovic,7044,
806,Zuzana,Caputova,20396,
806,Maros,Sefcovic,12533,
807,Zuzana,Caputova,11899,
807,Maros,Sefcovic,14768,
809,Zuzana,Caputova,2069,
809,Maros,Sefcovic,4258,
808,Zuzana,Caputova,9370,
808,Maros,Sefcovic,5123,
801,Zuzana,Caputova,3214,
801,Maros,Sefcovic,3961,
810,Zuzana,Caputova,13680,
810,Maros,Sefcovic,11696,
811,Zuzana,Caputova,10945,
811,Maros,Sefcovic,11184,
